Testcase No,Assumptions,Testcase Criteria,Testcase Steps,Expected Result,TestData,Actual Result,Testcase Result,https://harmony-sourcing.ktinformatik.com/
Client Management,User has valid access to the clients page,Access Clients Page,1. Login with valid credentials2. Navigate to Clients page,Clients page loads successfully with a list of existing clients,N/A,,Pass/Fail,
,User is on the Clients page,Add New Client,1. Click 'Add Client'2. Enter client details3. Click 'Save',New client is added and appears in the clients list,Client Name: 'Eco Apparel Ltd.',,Pass/Fail,
,At least one client exists,Edit Client,1. Select a client2. Click 'Edit'3. Modify client details4. Click 'Save',Client details are updated successfully,New Name: 'Green Textiles Inc.',,Pass/Fail,
,At least one client exists,Delete Client,1. Select a client2. Click 'Delete'3. Confirm deletion,Client is removed from the clients list,N/A,,Pass/Fail,
,User is on the Clients page,Search Client,1. Enter search term in the search bar2. Press 'Enter',Clients matching the search term are displayed,Search Term: 'Organic',,Pass/Fail,
,User is on the Clients page,Filter Clients,1. Apply a filter from the filter options2. View filtered clients,Clients are displayed according to the selected filter,Filter: 'Active',,Pass/Fail,
Certificte management,User has valid access to the certificates page,Access Certificates Page,1. Login with valid credentials2. Navigate to Certificates page,Certificates page loads successfully with a list of existing certificates,N/A,,Pass/Fail,
,User is on the Certificates page,Add New Certificate,1. Click 'Add Certificate'2. Enter certificate details3. Click 'Save',New certificate is added and appears in the certificates list,Certificate Name: 'SSL Certificate',,Pass/Fail,
,At least one certificate exists,Edit Certificate,1. Select a certificate2. Click 'Edit'3. Modify certificate details4. Click 'Save',Certificate details are updated successfully,New Name: 'Updated SSL Certificate',,Pass/Fail,
,At least one certificate exists,Delete Certificate,1. Select a certificate2. Click 'Delete'3. Confirm deletion,Certificate is removed from the certificates list,N/A,,Pass/Fail,
,User is on the Certificates page,Search Certificate,1. Enter search term in the search bar2. Press 'Enter',Certificates matching the search term are displayed,Search Term: 'TLS',,Pass/Fail,
,User is on the Certificates page,Filter Certificates,1. Apply a filter from the filter options2. View filtered certificates,Certificates are displayed according to the selected filter,Filter: 'Active',,Pass/Fail,
Contact management,User has valid access to the contacts page,Access Contacts Page,1. Login with valid credentials2. Navigate to Contacts page,Contacts page loads successfully with a list of existing contacts,N/A,,Pass/Fail,
,User is on the Contacts page,Add New Contact,1. Click 'Add Contact'2. Enter contact details3. Click 'Save',New contact is added and appears in the contacts list,,,Pass/Fail,
,At least one contact exists,Edit Contact,1. Select a contact2. Click 'Edit'3. Modify contact details4. Click 'Save',Contact details are updated successfully,New Name: ,,Pass/Fail,
,At least one contact exists,Delete Contact,1. Select a contact2. Click 'Delete'3. Confirm deletion,Contact is removed from the contacts list,N/A,,Pass/Fail,
,User is on the Contacts page,Search Contact,1. Enter search term in the search bar2. Press 'Enter',Contacts matching the search term are displayed,Search Term: 'Doe',,Pass/Fail,
,User is on the Contacts page,Filter Contacts,1. Apply a filter from the filter options2. View filtered contacts,Contacts are displayed according to the selected filter,Filter: 'Active',,Pass/Fail,
Testimonial management,User has valid access to the testimonials page,Access Testimonials Page,1. Login with valid credentials2. Navigate to Testimonials page,Testimonials page loads successfully with a list of existing testimonials,N/A,,Pass/Fail,
,User is on the Testimonials page,Add New Testimonial,1. Click 'Add Testimonial'2. Enter testimonial details3. Click 'Save',New testimonial is added and appears in the testimonials list,Testimonial: 'Great service!',,Pass/Fail,
,At least one testimonial exists,Edit Testimonial,1. Select a testimonial2. Click 'Edit'3. Modify testimonial details4. Click 'Save',Testimonial details are updated successfully,New Testimonial: 'Exceptional quality!',,Pass/Fail,
,At least one testimonial exists,Delete Testimonial,1. Select a testimonial2. Click 'Delete'3. Confirm deletion,Testimonial is removed from the testimonials list,N/A,,Pass/Fail,
,User is on the Testimonials page,Search Testimonial,1. Enter search term in the search bar2. Press 'Enter',Testimonials matching the search term are displayed,Search Term: 'service',,Pass/Fail,
,User is on the Testimonials page,Filter Testimonials,1. Apply a filter from the filter options2. View filtered testimonials,Testimonials are displayed according to the selected filter,Filter: 'Active',,Pass/Fail,
User Management,User has valid access to the users page,Access Users Page,1. Login with valid credentials2. Navigate to Users page,Users page loads successfully with a list of existing users,N/A,,Pass/Fail,
,User is on the Users page,Add New User,1. Click 'Add User'2. Enter user details3. Click 'Save',New user is added and appears in the users list,,,Pass/Fail,
,At least one user exists,Edit User,1. Select a user2. Click 'Edit'3. Modify user details4. Click 'Save',User details are updated successfully,New Name: ,,Pass/Fail,
,At least one user exists,Delete User,1. Select a user2. Click 'Delete'3. Confirm deletion,User is removed from the users list,N/A,,Pass/Fail,
,User is on the Users page,Search User,1. Enter search term in the search bar2. Press 'Enter',Users matching the search term are displayed,Search Term: 'Alice',,Pass/Fail,
,User is on the Users page,Filter Users,1. Apply a filter from the filter options2. View filtered users,Users are displayed according to the selected filter,Filter: 'Active',,Pass/Fail,
